ID,num,,,
Ieva Dirmaitė,0,,,
Ieva Greičiūtė-Kuprijanov,0,,,
Ieva Klimašauskė,0,,,
Ieva Macijauskytė,4,,,
Ieva Mantė Valivonytė,0,,,
Ieva Urbietytė,0,,,
Ignas Baltakis,0,,,
Ignas Kasparas,0,,,
Ignas Rubikas,4,,,
Ignas Rusilas,0,,,
Ignas Vėgėlė,21,,,
Ignė Ožekauskaitė,0,,,
Igor Goriačko,0,,,
Igor Golubajev,6,,,
Igor Muller,0,,,
Igoris Baikovskis,0,,,
Igoris Liubinskis,0,,,
Igoris Vasiliauskas,0,,,
Ilona Pileckienė,0,,,
Ilona Večkienė,18,,,
Ina Irens,0,,,
Indrė Kižienė,0,,,
Indrė Marija Baranauskienė,5,,,
Indrė Medeišytė,0,,,
Indrė Žvaigždinienė,15,,,
Inesis Kiškis,0,,,
Ineta Rizgelė,27,,,
Inga Pocevičienė,0,,,
Inga Balnanosienė,4,,,
Inga Barauskaitė,24,,,
Inga Buškutė,13,,,
Inga Cechanovičienė,6,,,
Inga Jagelevičiūtė,0,,,
Inga Juozapavičienė,5,,,
Inga Ruginienė,32,,,
Inga Šilinytė,10,,,
Inga Tarakavičiūtė,15,,,
Inga Žilienė,0,,,
Ingrida Muckutė,71,,,
Ingrida Vilkancaitė,2,,,
Irena Pušklevič,0,,,
Irena Stonkuvienė,0,,,
Irena Džervienė,2,,,
Irena Kasciuškevičiūtė,0,,,
Irena Lankauskienė,0,,,
Irena Malinauskienė,0,,,
Irena Matuliūkštienė,0,,,
Irena Saliomėja Čereškienė,0,,,
Irena Segalovičienė,2,,,
Irena Vinclav,0,,,
Irina Drozdovaitė,0,,,
Irina Malukienė,42,,,
Irina Urbonavičiūtė,0,,,
Irina Urbonė,0,,,
Irina Voitinovič,0,,,
Irma Lazickienė,0,,,
Irma Mozūraitytė,0,,,
Irma Patapienė,0,,,
Irmantas Mikulėnas,24,,,
Irmantas Petaraitis,0,,,
Irmantas Valūnas,8,,,
Irutė Varzienė,0,,,
Jadvyga Lukša,0,,,
Jana Mikulevič,0,,,
Janina Stripeikienė,0,,,
Janina Balabanova,0,,,
Janina Ivaškevič,0,,,
Janina Krušinskaitė,2,,,
Janina Kumpienė,1,,,
Janina Latvienė,0,,,
Janina Malinovskaja,0,,,
Janina Šokaitienė,0,,,
Janina Zavertanaja,0,,,
Jaronimas Laucius,0,,,
Jaunius Jasiūnas,0,,,
Jekaterina Rojaka,20,,,
Jelena Gomozova-Zdanovič,0,,,
Jevgenij Goretov,0,,,
Jevgenija Jankevič,4,,,
Jevgenijus Kuzma,10,,,
Ježy Miskis,49,,,
Joana Sokolnik,0,,,
Jolanta Bizaite,0,,,
Jolanta Ašmegienė,0,,,
Jolanta Bieliauskaitė,0,,,
Jolanta Čyžienė,0,,,
Jolanta Franckevičė,0,,,
Jolanta Ivanauskienė,3,,,
Jolanta Iždonienė,1,,,
Jolanta Sakalauskienė,2,,,
Jolanta Širkaitė,0,,,
Jolanta Vaitiekienė,0,,,
Jolanta Vaskelienė,0,,,
Jolanta Zabarskaitė,0,,,
Jolita Barkauskienė,0,,,
Jolita Gumaniukienė,54,,,
Jolita Sinkevičiūtė,45,,,
Jonas Burokas,0,,,
Jonas Česnavičius,0,,,
Jonas Dumašius,0,,,
Jonas Gečas,0,,,
Jonas Gricius,3,,,
Jonas Gudauskas,0,,,
Jonas Ivoška,0,,,
Jonas Jakaitis,0,,,
Jonas Kairys,2,,,
Jonas Lisauskas,10,,,
Jonas Makauskas,35,,,
Jonas Markelevičius,1,,,
Jonas Mickus,33,,,
Jonas Milerius,0,,,
Jonas Pupius,4,,,
Jonas Ragauskas,0,,,
Jonas Rasimas,0,,,
Jonas Rudzinskas,15,,,
Jonas Ruškus,0,,,
Jonas Rytis Puodžius,0,,,
Jonas Satkūnas,1,,,
Jonas Šimėnas,0,,,
Jonas Strazevičius,0,,,
Jonas Sviderskis,72,,,
Jonas Udris,1,,,
Jonas Uselis,0,,,
Jonas Vytautas Žukas,0,,,
Jonė Valčiukienė,0,,,
Josifas Bareiša,0,,,
Jovita Burlėgienė,2,,,
Judita Šakočiuvienė,0,,,
Judita Akromienė,1,,,
Judita Nagienė,136,,,
Judita Vaišnorienė,5,,,
Julija Drozdova,0,,,
Julija Sokolovskaja,0,,,
Julijus Naudžiūnas,0,,,
Julita Varanauskienė,1,,,
Julius Jauniškis,0,,,
Julius Karvelis,0,,,
Julius Jasaitis,0,,,
