last_name,first_name,terms_elected,2017_Spring_total,2017_Spring_NGO_local,2017_Spring_business,2017_Spring_registered_lobbyists,2017_Spring_trade_unions,2017_Spring_others,2017_Autumn_total,2017_Autumn_NGO_local,2017_Autumn_business,2017_Autumn_registered_lobbyists,2017_Autumn_trade_unions,2017_Autumn_others,2018_Spring_total,2018_Spring_NGO_local,2018_Spring_business,2018_Spring_registered_lobbyists,2018_Spring_trade_unions,2018_Spring_others,2018_Autumn_total,2018_Autumn_NGO_local,2018_Autumn_business,2018_Autumn_registered_lobbyists,2018_Autumn_trade_unions,2018_Autumn_others,2019_Spring_total,2019_Spring_NGO_local,2019_Spring_business,2019_Spring_registered_lobbyists,2019_Spring_trade_unions,2019_Spring_others,2019_Autumn_total,2019_Autumn_NGO_local,2019_Autumn_business,2019_Autumn_registered_lobbyists,2019_Autumn_trade_unions,2019_Autumn_others,2020_Spring_total,2020_Spring_NGO_local,2020_Spring_business,2020_Spring_registered_lobbyists,2020_Spring_trade_unions,2020_Spring_others,Total_all_periods,End_term
Kubilienė,Asta,1,2,2,0,0,0,,8,1,1,0,0,6,3,0,0,0,0,3,6,3,0,0,1,2,7,3,2,0,1,1,10,3,0,0,0,7,0,0,0,0,0,0,36,
Kubilius,Andrius,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2016-11-14 iki 2019-07-01
Kupčinskas,Andrius,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,1,2,,,4,11,2,5,1,,3,15,6,3,0,1,5,10,6,2,1,0,1,43,Seimo narys nuo 2018-03-10
Kuzmickienė,Paulė,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,Seimo narė nuo 2019-09-26
Landsbergis,Gabrielius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Langaitis,Tadas,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2016-11-14 iki 2018-02-28
Liesys,Jonas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,6,2,1,0,0,3,7,4,0,0,0,3,1,0,0,0,1,0,18,
Linkevičius,Linas Antanas,2,3,2,1,0,0,0,8,3,2,0,0,3,8,5,0,0,0,3,10,6,2,0,0,2,8,5,0,0,0,3,10,3,3,0,0,4,0,0,0,0,0,0,47,
Mackevič,Michal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,1,0,1,0,0,0,5,
Majauskas,Mykolas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maldeikienė,Aušra,1,10,2,5,3,0,0,9,4,4,0,0,1,17,11,1,0,1,4,12,6,3,0,0,3,6,2,2,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Seimo narė nuo 2016-11-14 iki 2019-06-30
Markauskas,Bronius,2,41,5,18,0,0,18,8,0,8,0,0,0,6,2,2,0,0,2,2,0,2,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Seimo narys nuo 2016-11-14 iki 2019-04-10
Martinėlis,Raimundas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Masiulis,Kęstutis,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matelis,Bronislavas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matkevičienė,Laimutė,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,7,
Matulas,Antanas,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,1,1,0,0,6,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15,
Mažeika,Kęstutis,1,0,0,0,0,0,0,5,2,2,0,0,1,16,9,3,0,0,4,31,9,14,0,0,8,28,6,16,0,2,4,36,1,21,0,3,11,17,1,10,0,0,6,133,
Mazuronis,Andrius,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,Seimo narys nuo 2019-04-09
Miliūtė,Rūta,1,11,8,0,0,0,3,8,4,0,1,1,2,21,3,12,2,1,3,4,1,1,2,0,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,48,
Morkūnaitė-Mikulėnienė,Radvilė,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Narkevič,Jaroslav,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,17,0,2,2,18,0,18,0,0,0,42,
Nausėda,Alfredas Stasys,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Navickas,Andrius,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,7,5,1,1,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,1,20,
Navickienė,Monika,1,4,2,1,0,0,1,6,2,0,1,0,3,4,1,1,2,0,0,3,1,0,0,0,2,1,0,1,0,0,0,5,0,2,0,2,1,3,0,1,0,0,2,26,
Nekrošius,Arvydas,1,4,2,0,0,0,2,5,1,3,0,0,1,5,3,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,17,
Nevulis,Petras,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,2,1,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
Norkienė,Aušrinė,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Olekas,Juozas,6,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2,1,1,4,2,0,1,1,0,0,1,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,Seimo narys nuo 2016-11-14 iki 2019-07-01
Olševski,Česlav,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,
Palionis,Andrius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,
Papirtienė,Aušra,1,0,0,0,0,0,0,8,0,2,0,1,5,8,1,1,0,1,5,9,2,1,0,3,3,9,3,2,0,1,3,8,4,0,0,1,3,0,0,0,0,0,0,42,
Pavilionis,Žygimantas,1,0,0,0,0,0,0,5,4,0,0,0,1,12,7,2,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,7,31,
